COS	Artificial Intelligence & Machine Learning;Bioinformatics & Computational Biology;Computational Markets, Economics, and Game Theory;Computer Architecture & Compilers;Graphics, Vision, Sound, Music, and HCI;Networks and Systems;Programming Languages & Software Engineering; Security, Privacy, and Policy;Theory
ELE	Applied Physics;Biological & Biomedical;Computing & Networking;Energy & Environment;High-Performance Computing;Information Sciences & Systems;Nanotechnologies;Integrated Electronic Systems
MOL	Biochemistry;Biophysics;Cancer;Cell Biology;Chemical Biology;Computation & Modeling;Development;Evolution;Genetics;Genomics;Global Health;Microbiology & Virology;Neuroscience;Structural Biology
